Time [d]	Flux	Sigma
--------	----	-----
57449.4472013100	6168072.6875000000	2501.9250488281
57449.4495046500	6161984.8750000000	2500.4401855469
57449.4518079800	6172246.6875000000	2501.9863281250
57449.4541113100	6174867.3750000000	2502.1755371094
57449.4564142800	6171635.6875000000	2501.5742187500
57449.4587176100	6171964.0000000000	2501.5893554688
57449.4610209400	6175461.3750000000	2502.3383789062
57449.4633242800	6177916.8125000000	2502.4558105469
57449.4656272400	6186975.7500000000	2503.9321289062
57449.4676720500	5176229.8125000000	2292.0124511719
57449.5054305700	6179651.3750000000	2507.1232910156
57449.5077339100	6178819.9375000000	2505.6992187500
57449.5100372400	6175479.3125000000	2504.2241210938
57449.5123402000	6173278.3125000000	2503.0566406250
57449.5146435400	6175317.6875000000	2503.1269531250
57449.5169468700	6181090.4375000000	2503.8984375000
57449.5192502000	6180893.5000000000	2503.6320800781
57449.5215531700	6176680.6875000000	2502.6381835938
57449.5238565000	6182593.6250000000	2503.7241210938
57449.5261598300	6180284.6250000000	2503.3137207031
57449.5284631700	6173797.8125000000	2502.1032714844
57449.5307661300	6182916.4375000000	2503.4291992188
57449.5330694600	6181858.6875000000	2503.0083007812
57449.5716690900	6121770.8750000000	2495.4091796875
57449.5739724200	6125504.8125000000	2494.8693847656
57449.5762753900	6119961.0000000000	2493.2404785156
57449.5785787200	6120835.1875000000	2492.8288574219
57449.5808820500	6120702.0625000000	2492.2331542969
57449.5831853900	6123927.8750000000	2492.5268554688
57449.5854883500	6117563.4375000000	2490.9533691406
57449.5877916800	6123354.8750000000	2492.3369140625
57449.5900950200	6121073.8125000000	2491.8974609375
57449.5923983500	6116130.0000000000	2490.8645019531
57449.5947013100	6117125.0000000000	2491.2016601562
57449.5970046500	6118606.8125000000	2491.1757812500
57449.5993079800	6121733.0625000000	2491.3862304688
57449.6378957600	6111277.8125000000	2493.4094238281
57449.6401990900	6111906.0625000000	2492.3498535156
57449.6425024200	6116310.1250000000	2492.5903320312
57449.6448057600	6112237.1875000000	2491.0627441406
57449.6471087200	6113626.1250000000	2490.7036132812
57449.6494120500	6116287.9375000000	2491.0029296875
57449.6517153900	6119366.6875000000	2491.3894042969
57449.6540187200	6116388.3750000000	2490.9118652344
57449.6563216800	6120305.5625000000	2491.4685058594
57449.6586250200	6122745.3750000000	2492.2924804688
57449.6609283500	6123565.1875000000	2492.5476074219
57449.6632316800	6129973.7500000000	2493.1936035156
57449.6655346500	6122955.4375000000	2491.6176757812
57449.7041342800	6165010.8750000000	2504.9650878906
57449.7064376100	6166706.6875000000	2503.4777832031
57449.7087409400	6172069.5000000000	2503.3251953125
57449.7110439100	6167672.3125000000	2502.0876464844
57449.7133472400	6166780.0625000000	2501.4860839844
57449.7156505700	6167890.0000000000	2501.2976074219
57449.7179539100	6171422.3750000000	2501.5578613281
57449.7202568700	6168894.3750000000	2501.0524902344
57449.7225602000	6173611.6250000000	2502.0422363281
57449.7248635400	6170990.2500000000	2501.5795898438
57449.7271668700	6171377.4375000000	2501.6027832031
57449.7294698300	6176873.0625000000	2502.4089355469
