Time [d]	Flux	Sigma
--------	----	-----
57625.7893237500	6016370.8750000000	2491.8947753906
57625.7916270800	6025883.9375000000	2493.7951660156
57625.7939304200	6036793.8750000000	2496.0400390625
57625.7962333800	6045359.7500000000	2497.6916503906
57625.7985367100	6041393.3125000000	2496.8764648438
57625.8008400500	6045043.5000000000	2497.5861816406
57625.8031433800	6041249.1875000000	2496.8615722656
57625.8054463400	6052013.3750000000	2499.4692382812
57625.8077496800	6052678.7500000000	2500.8986816406
57625.8100530100	6051492.0000000000	2501.8747558594
57625.8123563400	6055489.1250000000	2503.6213378906
57625.8144007900	5062977.0000000000	2292.0974121094
57625.8497289400	6051782.2500000000	2499.0039062500
57625.8520322700	6048460.0625000000	2498.4611816406
57625.8543352300	6049523.6250000000	2498.3393554688
57625.8566385700	6053050.2500000000	2499.1135253906
57625.8589419000	6054836.0625000000	2499.5432128906
57625.8612452300	6057657.5625000000	2500.0305175781
57625.8635482000	6052598.6250000000	2499.2155761719
57625.8658515300	6057611.6250000000	2500.1435546875
57625.8681548600	6051714.6250000000	2498.9299316406
57625.8704582000	6057336.6875000000	2500.2646484375
57625.8727611600	6057048.3750000000	2500.7519531250
57625.8750644900	6058239.1250000000	2502.3540039062
57625.8773678300	6057022.2500000000	2503.7990722656
57625.9159674600	5992067.1250000000	2487.2333984375
57625.9182704200	5991356.3750000000	2487.1044921875
57625.9205737500	5996771.0000000000	2488.0466308594
57625.9228770800	5991155.0000000000	2486.9150390625
57625.9251804200	5995906.5625000000	2487.8471679688
57625.9274833800	5994286.4375000000	2487.4714355469
57625.9297867100	5999335.3750000000	2488.3239746094
57625.9320900500	5994911.5625000000	2487.5798339844
57625.9343933800	5998545.7500000000	2488.2705078125
57625.9366963400	5989948.9375000000	2486.6037597656
57625.9389996800	6000087.1875000000	2489.2233886719
57625.9413030100	5998921.6875000000	2490.2714843750
57625.9436063400	5996530.0000000000	2491.2119140625
57625.9821941200	5994390.8125000000	2487.5742187500
57625.9844974600	5997359.8750000000	2488.0263671875
57625.9868007900	5995644.8125000000	2487.8266601562
57625.9891037500	6002796.3125000000	2489.1281738281
57625.9914070800	6005753.1250000000	2489.6154785156
57625.9937104200	6006674.6875000000	2489.9714355469
57625.9960137500	6014830.0000000000	2491.6140136719
57625.9983167100	6025899.7500000000	2493.7687988281
57626.0006200500	6039181.4375000000	2496.3293457031
57626.0029233800	6057874.6875000000	2500.2065429688
57626.0052267100	6053183.6875000000	2499.8256835938
57626.0075296800	6061096.2500000000	2503.1325683594
57626.0098330100	6049878.5000000000	2501.9404296875
57626.0484326400	6051327.8750000000	2498.9548339844
57626.0507359700	6046158.0000000000	2497.7998046875
57626.0530393100	6048424.2500000000	2498.2890625000
57626.0553422700	6052987.5000000000	2499.1088867188
57626.0576456000	6053416.2500000000	2499.2565917969
57626.0599489400	6058569.9375000000	2500.2187500000
57626.0622519000	6052952.5625000000	2499.0766601562
57626.0645552300	6050312.9375000000	2498.5976562500
57626.0668585700	6051135.5625000000	2498.8718261719
57626.0691619000	6051294.9375000000	2499.0395507812
57626.0714648600	6049886.1875000000	2499.0864257812
57626.0737682000	6052025.8125000000	2501.1105957031
57626.0760715300	6051335.7500000000	2502.0483398438
