Time [d]	Flux	Sigma
--------	----	-----
57683.3411111100	90957012.4442244917	9662.3154296875
57683.3428937100	91047443.0203212798	9666.1308593750
57683.3446759300	91080885.7200924307	9667.8105468750
57683.3464585200	91155284.9254657775	9671.1357421875
57683.3482407400	91183707.2726549655	9671.8105468750
57683.3500233400	91221541.8379088193	9673.4501953125
57683.3518059300	91232911.0630147904	9674.1464843750
57683.3535881500	91233694.1965661347	9673.8955078125
57683.3553703700	91244888.5742406249	9674.1250000000
57683.3571529700	91257130.8686289191	9674.8710937500
57683.3589351900	91263003.9391294271	9675.0507812500
57683.3607177800	91294970.7190135270	9676.8066406250
57683.3625000000	91303865.5985301584	9677.1044921875
57683.3637651900	46216925.4318598360	6912.0502929688
57683.4012848200	91211372.1907110214	9681.5000000000
57683.4030670400	91265807.3983906209	9681.9531250000
57683.4048496300	91254549.5126509219	9679.5156250000
57683.4066318600	91265735.4328447431	9678.7939453125
57683.4084144500	91281224.0213635862	9678.8027343750
57683.4101966700	91286368.1708818376	9678.2656250000
57683.4119792600	91304435.1867524981	9678.9726562500
57683.4137614800	91295021.9446204603	9677.6464843750
57683.4155440800	91291288.5278546661	9677.0908203125
57683.4173263000	91323860.2445887625	9678.6015625000
57683.4191088900	91310338.5058888644	9678.2138671875
57683.4208911100	91299652.8457950950	9677.4736328125
57683.4226737100	91307233.1770912558	9677.9257812500
57683.4244559300	91293149.4433818161	9676.5937500000
57683.4262385200	91305708.2937956303	9677.5966796875
57683.4280207400	91297923.9977520108	9676.9580078125
57683.4298033400	91277990.9516710341	9675.9570312500
57683.4675233400	90052590.2101166546	9624.2177734375
57683.4693055600	89977377.7246265113	9616.5576171875
57683.4710881500	89930153.9440644383	9611.4326171875
57683.4728703700	89885480.7494984418	9608.0371093750
57683.4746529700	89840345.9742080271	9605.0537109375
57683.4764351900	89816998.3999687731	9603.2968750000
57683.4782177800	89752045.0493829846	9599.6416015625
57683.4800000000	89769289.6285598874	9599.7099609375
57683.4817826000	89764920.5346585810	9599.0273437500
57683.4835648200	89736412.7388557196	9597.4277343750
57683.4853474100	89768989.8485882580	9599.2910156250
57683.4871296300	89757459.7856969386	9598.5927734375
57683.4889122300	89773334.9514767826	9599.2128906250
57683.4906944500	89805485.5684506148	9600.9931640625
57683.4924770400	89822347.6142904311	9601.4023437500
57683.4942592600	89889631.3078309000	9605.0888671875
57683.4960418600	89930853.0762907118	9607.1162109375
57683.5337614800	91186155.8452931494	9682.9179687500
57683.5355440800	91196906.9740897864	9680.1484375000
57683.5373263000	91210928.7058440298	9678.4238281250
57683.5391088900	91228056.7030124515	9677.8320312500
57683.5408911100	91205826.4419867545	9675.6757812500
57683.5426737100	91215765.6432521641	9675.3681640625
57683.5444559300	91235309.5548524410	9675.7519531250
57683.5462385200	91243223.1190945208	9675.5908203125
57683.5480207400	91234527.2529880553	9674.6318359375
57683.5498033400	91238492.6026081741	9674.8203125000
57683.5515855600	91209742.5829158276	9673.2861328125
57683.5533681500	91240244.1068957150	9674.6425781250
57683.5551503700	91229778.9761256576	9673.9580078125
57683.5569329700	91244197.4123385698	9674.4765625000
57683.5587151900	91225500.2509604841	9673.6523437500
57683.5604977800	91216591.4508917332	9673.1337890625
57683.5622800000	91221304.2387709320	9673.3740234375
